player,team,position,salary
Andre Pallante,St. Louis Cardinals,P,4000000
Drew Pomeranz,Los Angeles Angels,P,4000000
Spencer Steer,Cincinnati Reds,OF,4000000
Caleb Thielbar,Chicago Cubs,P,4000000
Ryan Thompson,Arizona Diamondbacks,P,3950000
Will Vest,Detroit Tigers,P,3950000
Adrian Morejon,San Diego Padres,P,3900000
T.J. Friedl,Cincinnati Reds,OF,3800000
Tyrone Taylor,New York Mets,OF,3800000
Hoby Milner,Chicago Cubs,P,3750000
John Schreiber,Kansas City Royals,P,3715000
Lawrence Butler,Athletics,OF,3678571
Bailey Falter,Kansas City Royals,P,3600000
Shane McClanahan,Tampa Bay Rays,P,3600000
Griffin Jax,Tampa Bay Rays,P,3565000
Kyle Bradish,Baltimore Orioles,P,3550000
Jake Meyers,Houston Astros,OF,3550000
Alex Vesia,Los Angeles Dodgers,P,3550000
Martín Pérez,Atlanta Braves,P,3500000
Cristopher Sanchez,Philadelphia Phillies,P,3500000
Dennis Santana,Pittsburgh Pirates,P,3500000
Ryne Stanek,St. Louis Cardinals,P,3500000
Trevor Stephan,Cleveland Guardians,P,3500000
Anthony Volpe,New York Yankees,SS,3475000
Brandon Pfaadt,Arizona Diamondbacks,P,3400000
Alec Burleson,St. Louis Cardinals,1B,3300000
Oneil Cruz,Pittsburgh Pirates,OF,3300000
Kerry Carpenter,Detroit Tigers,OF,3275000
Matt Vierling,Detroit Tigers,OF,3255000
Josh H. Smith,Texas Rangers,2B,3225000
Jake Burger,Texas Rangers,1B,3200000
Brenton Doyle,Colorado Rockies,OF,3100000
A.J. Puk,Arizona Diamondbacks,P,3100000
Jake Rogers,Detroit Tigers,C,3050000
Ryan Pepiot,Tampa Bay Rays,P,3025000
Jake Fraley,Tampa Bay Rays,OF,3000000
Tim Hill,New York Yankees,P,3000000
Tyler Kinley,Atlanta Braves,P,3000000
Zack Littell,Washington Nationals,P,3000000
Ryne Nelson,Arizona Diamondbacks,P,3000000
Max Scherzer,Toronto Blue Jays,P,3000000
Keegan Akin,Baltimore Orioles,P,2975000
James McCann,Arizona Diamondbacks,C,2975000
Josh Jung,Texas Rangers,3B,2900000
Jose Soriano,Los Angeles Angels,P,2900000
Cooper Pratt,Milwaukee Brewers,SS,2875000
Mark Leiter Jr.,Athletics,P,2850000
Royce Lewis,Minnesota Twins,3B,2850000
Anthony Bender,Miami Marlins,P,2810000
Brusdar Graterol,Los Angeles Dodgers,P,2800000
Jake Irvin,Washington Nationals,P,2800000
Kutter Crawford,Boston Red Sox,P,2750000
Jake Junis,Texas Rangers,P,2750000
JP Sears,San Diego Padres,P,2750000
Sung Mun Song,San Diego Padres,3B,2750000
Kevin Ginkel,Arizona Diamondbacks,P,2725000
Jake Bauers,Milwaukee Brewers,1B,2700000
Kyle Isbel,Kansas City Royals,OF,2700000
Nolan Gorman,St. Louis Cardinals,3B,2655000
Roman Anthony,Boston Red Sox,OF,2625000
Reid Detmers,Los Angeles Angels,P,2625000
Logan O'Hoppe,Los Angeles Angels,C,2625000
Josh Lowe,Los Angeles Angels,OF,2600000
Gabriel Moreno,Arizona Diamondbacks,C,2550000
Nick Fortes,Tampa Bay Rays,C,2535000
Joey Bart,Pittsburgh Pirates,C,2530000
Dietrich Enns,Baltimore Orioles,P,2500000
Santiago Espinal,Los Angeles Dodgers,3B,2500000
Tylor Megill,New York Mets,P,2500000
Amed Rosario,New York Yankees,SS,2500000
Ryan Yarbrough,New York Yankees,P,2500000
Ryan Feltner,Colorado Rockies,P,2450000
Taylor Walls,Tampa Bay Rays,SS,2450000
Tyler Wells,Baltimore Orioles,P,2450000
Bryce Miller,Seattle Mariners,P,2437500
Francisco Alvarez,New York Mets,C,2400000
Garrett Cleavinger,Tampa Bay Rays,P,2400000
Justin Martinez,Arizona Diamondbacks,P,2400000
Konnor Griffin,Pittsburgh Pirates,SS,2333333
Brock Burke,Cincinnati Reds,P,2325000
Steven Okert,Houston Astros,P,2325000
Matt McLain,Cincinnati Reds,2B,2300000
Luis Lara,Milwaukee Brewers,OF,2285714
Luis Torrens,New York Mets,C,2275000
Matthew Liberatore,St. Louis Cardinals,P,2260000
Félix Bautista,Baltimore Orioles,P,2250000
Kristian Campbell,Boston Red Sox,2B,2250000
Mitch Garver,Seattle Mariners,C,2250000
Miles Mikolas,Washington Nationals,P,2250000
Joel Payamps,Atlanta Braves,P,2250000
Ceddanne Rafaela,Boston Red Sox,OF,2250000
Pavin Smith,Arizona Diamondbacks,1B,2250000
Dylan Lee,Atlanta Braves,P,2200000
Luis Rengifo,Milwaukee Brewers,2B,2200000
Luis Gil,New York Yankees,P,2162500
Gabe Speier,Seattle Mariners,P,2125000
Jackson Merrill,San Diego Padres,OF,2111111
Freddy Fermin,San Diego Padres,C,2100000
Ryan Weiss,Houston Astros,P,2100000
Luke Raley,Seattle Mariners,P,2050000
Scott Barlow,Athletics,P,2000000
Paul Blackburn,New York Yankees,P,2000000
José Caballero,New York Yankees,SS,2000000
Dylan Carlson,Chicago Cubs,OF,2000000
Michael Conforto,Chicago Cubs,OF,2000000
Colt Emerson,Seattle Mariners,SS,2000000
Jason Foley,San Francisco Giants,P,2000000
Nolan Jones,Chicago White Sox,OF,2000000
Christopher Morel,Miami Marlins,1B,2000000
Shinnosuke Ogasawara,Washington Nationals,P,2000000
Taylor Rogers,Minnesota Twins,P,2000000
Carlos Santana,Arizona Diamondbacks,1B,2000000
Leody Taveras,Baltimore Orioles,OF,2000000
