name,team,salary,position,age,per
Jock Landale,Atlanta Hawks,2296274,Center,30,16.6
Joe Ingles,Minnesota Timberwolves,2296274,Small Forward,38,13
Joel Embiid,Philadelphia 76ers,55224526,Center,31,24.7
John Collins,LA Clippers,26580000,Power Forward,28,16.3
John Konchar,Utah Jazz,6165000,Shooting Guard,29,13.6
Johni Broome,Philadelphia 76ers,1272870,Center,23,0.4
Johnny Furphy,Indiana Pacers,1955377,Shooting Guard,21,9.2
Jonas Valanciunas,Denver Nuggets,10395000,Center,33,22
Jonathan Isaac,Orlando Magic,15000000,Power Forward,28,11.5
Jonathan Kuminga,Atlanta Hawks,22500000,Power Forward,23,14.2
Jonathan Mogbo,Toronto Raptors,1955377,Power Forward,24,12.8
Jordan Clarkson,New York Knicks,2296274,Shooting Guard,33,11.6
Jordan Goodwin,Phoenix Suns,2349578,Point Guard,27,14.7
Jordan Hawkins,New Orleans Pelicans,4741320,Shooting Guard,23,7.6
Jordan McLaughlin,San Antonio Spurs,2296274,Point Guard,29,12
Jordan Miller,LA Clippers,712637,Small Forward,26,15.9
Jordan Poole,New Orleans Pelicans,31848215,Point Guard,26,11.5
Jordan Walsh,Boston Celtics,2221677,Power Forward,21,13.1
Jose Alvarado,New York Knicks,4500000,Point Guard,27,12.1
Josh Giddey,Chicago Bulls,25000000,Point Guard,23,18
Josh Green,Charlotte Hornets,13666667,Shooting Guard,25,9.7
Josh Hart,New York Knicks,19472240,Small Forward,30,15.7
Josh Minott,Brooklyn Nets,2378870,Power Forward,23,16
Josh Okogie,Houston Rockets,7750000,Shooting Guard,27,9.9
Jrue Holiday,Portland Trail Blazers,32400000,Point Guard,35,16.4
Julian Champagnie,San Antonio Spurs,3000000,Small Forward,24,13.1
Julian Phillips,Minnesota Timberwolves,2221677,Small Forward,22,9.3
Julian Strawther,Denver Nuggets,2674200,Shooting Guard,23,12.5
Julius Randle,Minnesota Timberwolves,30864198,Power Forward,31,18.4
Justin Champagnie,Washington Wizards,2349578,Small Forward,24,17.3
Justin Edwards,Philadelphia 76ers,2048494,Small Forward,22,12.1
Jusuf Nurkic,Utah Jazz,19375000,Center,31,16.4
Kam Jones,Indiana Pacers,1272870,Shooting Guard,23,8.2
Karl-Anthony Towns,New York Knicks,54126450,Center,30,22
Karlo Matkovic,New Orleans Pelicans,1955377,Power Forward,24,16.5
Kasparas Jakucionis,Miami Heat,3658800,Point Guard,19,11.9
Kawhi Leonard,LA Clippers,50000000,Small Forward,34,27.9
Keaton Wallace,Atlanta Hawks,2296274,Point Guard,26,10.4
Keegan Murray,Sacramento Kings,11144093,Power Forward,25,11.7
Kel'el Ware,Miami Heat,4443360,Center,21,20
Keldon Johnson,San Antonio Spurs,17500000,Small Forward,26,17.3
Kelly Olynyk,San Antonio Spurs,13445122,Center,34,13.5
Kelly Oubre Jr.,Philadelphia 76ers,8382150,Small Forward,30,13
Kenrich Williams,Oklahoma City Thunder,7163000,Power Forward,31,14.2
Kentavious Caldwell-Pope,Memphis Grizzlies,21621500,Shooting Guard,32,11
Keon Ellis,Cleveland Cavaliers,2301587,Shooting Guard,26,10.8
Keon Johnson,Brooklyn Nets,2349578,Shooting Guard,23,
Keshad Johnson,Miami Heat,1955377,Small Forward,24,15.2
Kevin Durant,Houston Rockets,54708609,Small Forward,37,21.1
Kevin Huerter,Detroit Pistons,17991071,Small Forward,27,13.2
Kevin Love,Utah Jazz,4150000,Power Forward,37,14.7
Kevin Porter Jr.,Milwaukee Bucks,5134000,Point Guard,25,18.7
Kevon Looney,New Orleans Pelicans,8000000,Center,29,13.6
Keyonte George,Utah Jazz,4278960,Point Guard,22,18.5
Khaman Maluach,Phoenix Suns,6016080,Center,19,14
Khris Middleton,Dallas Mavericks,33926296,Small Forward,34,10.9
KJ Martin,Utah Jazz,8025000,Small Forward,25,
Klay Thompson,Dallas Mavericks,16666667,Small Forward,35,11.4
Kobe Brown,Indiana Pacers,2654880,Power Forward,26,12
Kobe Bufkin,Los Angeles Lakers,831410,Shooting Guard,22,6.2
Kon Knueppel,Charlotte Hornets,10015680,Small Forward,20,17.1
Kris Dunn,LA Clippers,5426000,Point Guard,31,11.3
Kris Murray,Portland Trail Blazers,3132000,Small Forward,25,9.6
Kristaps Porzingis,Golden State Warriors,30731707,Center,30,19.6
